,geneName,ensId,keggId,keggBriteId,Functional Annotation Group,Functional Annotation Subgroup,Functional Annotation,TCGA-02-0047-01_NON_BRCA,order
190,KIF17,ENSG00000117245.12,hsa:57576,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,1.5998,0.14393188994832345
191,ECE1,ENSG00000117298.14,hsa:1889,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.0635,5.272846754049744
192,ECE1,ENSG00000117298.14,hsa:1889,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,6.0635,5.272846754049744
193,ECE1,ENSG00000117298.14,hsa:1889,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.0635,5.272846754049744
194,ECE1,ENSG00000117298.14,hsa:1889,1002,Genes and Proteins,Protein families: metabolism,Peptidases,6.0635,5.272846754049744
195,ALPL,ENSG00000162551.13,hsa:249,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7867,2.9908915572587382
196,ALPL,ENSG00000162551.13,hsa:249,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,3.7867,2.9908915572587382
197,ALPL,ENSG00000162551.13,hsa:249,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.7867,2.9908915572587382
198,ALPL,ENSG00000162551.13,hsa:249,0537,Genes and Proteins,Protein families: signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins,3.7867,2.9908915572587382
199,RAP1GAP,ENSG00000076864.19,hsa:5909,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9644,3.3803482716630118
200,HSPG2,ENSG00000142798.16,hsa:3339,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),5.0475,5.4154554519021545
201,HSPG2,ENSG00000142798.16,hsa:3339,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,5.0475,5.4154554519021545
202,HSPG2,ENSG00000142798.16,hsa:3339,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,5.0475,5.4154554519021545
203,WNT4,ENSG00000162552.14,hsa:54361,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.2159,0.07618233224453955
204,WNT4,ENSG00000162552.14,hsa:54361,0536,Genes and Proteins,Protein families: signaling and cellular processes,Glycosaminoglycan binding proteins,-0.2159,0.07618233224453955
205,EPHA8,ENSG00000070886.10,hsa:2046,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.2447,-5.738616800577964
206,EPHA8,ENSG00000070886.10,hsa:2046,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-2.2447,-5.738616800577964
207,EPHA8,ENSG00000070886.10,hsa:2046,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,-2.2447,-5.738616800577964
208,C1QA,ENSG00000173372.16,hsa:712,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.0891,6.6427682511029635
209,C1QA,ENSG00000173372.16,hsa:712,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,8.0891,6.6427682511029635
210,C1QC,ENSG00000159189.11,hsa:714,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.7447,6.416202019045571
211,C1QC,ENSG00000159189.11,hsa:714,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,8.7447,6.416202019045571
212,C1QB,ENSG00000173369.15,hsa:713,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),9.0892,6.772255552342034
213,C1QB,ENSG00000173369.15,hsa:713,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,9.0892,6.772255552342034
214,EPHB2,ENSG00000133216.16,hsa:2048,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.8759,1.8125086680809426
215,EPHB2,ENSG00000133216.16,hsa:2048,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.8759,1.8125086680809426
216,EPHB2,ENSG00000133216.16,hsa:2048,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,3.8759,1.8125086680809426
217,HTR1D,ENSG00000179546.4,hsa:3352,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.3921,-3.2267508698515286
218,HTR1D,ENSG00000179546.4,hsa:3352,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-1.3921,-3.2267508698515286
219,ZNF436,ENSG00000125945.14,hsa:80818,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.748,2.5928391848877643
220,ZNF436,ENSG00000125945.14,hsa:80818,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,4.748,2.5928391848877643
221,ASAP3,ENSG00000088280.18,hsa:55616,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.9482,3.0806344015762983
222,ASAP3,ENSG00000088280.18,hsa:55616,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,4.9482,3.0806344015762983
223,E2F2,ENSG00000007968.6,hsa:1870,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.3956,0.024749832827676736
224,E2F2,ENSG00000007968.6,hsa:1870,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,1.3956,0.024749832827676736
225,ID3,ENSG00000117318.8,hsa:3399,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.4676,5.749915204394915
226,ID3,ENSG00000117318.8,hsa:3399,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,8.4676,5.749915204394915
227,GALE,ENSG00000117308.14,hsa:2582,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.1668,5.153023979998138
228,GALE,ENSG00000117308.14,hsa:2582,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.1668,5.153023979998138
229,FUCA1,ENSG00000179163.11,hsa:2517,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.0756,5.078537041955636
230,FUCA1,ENSG00000179163.11,hsa:2517,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,4.0756,5.078537041955636
231,FUCA1,ENSG00000179163.11,hsa:2517,1000,Genes and Proteins,Protein families: metabolism,Enzymes,4.0756,5.078537041955636
232,CNR2,ENSG00000188822.7,hsa:1269,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-6.5064,-5.232821926763818
233,CNR2,ENSG00000188822.7,hsa:1269,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-6.5064,-5.232821926763818
234,IL22RA1,ENSG00000142677.3,hsa:58985,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.035,-0.41601777290543923
235,IL22RA1,ENSG00000142677.3,hsa:58985,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,-4.035,-0.41601777290543923
236,IFNLR1,ENSG00000185436.11,hsa:163702,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.8568,0.785216446174663
237,IFNLR1,ENSG00000185436.11,hsa:163702,4050,Genes and Proteins,Protein families: signaling and cellular processes,Cytokine receptors,0.8568,0.785216446174663
238,GRHL3,ENSG00000158055.15,hsa:57822,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.0218,-0.4100514859653774
239,GRHL3,ENSG00000158055.15,hsa:57822,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.0218,-0.4100514859653774
240,NIPAL3,ENSG00000001461.16,hsa:57185,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.2442,3.4795472830882153
241,NIPAL3,ENSG00000001461.16,hsa:57185,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,4.2442,3.4795472830882153
242,RCAN3,ENSG00000117602.11,hsa:11123,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.7916,2.3946775149401827
243,CLIC4,ENSG00000169504.14,hsa:25932,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),7.8062,5.485834673895579
244,CLIC4,ENSG00000169504.14,hsa:25932,4040,Genes and Proteins,Protein families: signaling and cellular processes,Ion channels,7.8062,5.485834673895579
245,CLIC4,ENSG00000169504.14,hsa:25932,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,7.8062,5.485834673895579
246,RUNX3,ENSG00000020633.18,hsa:864,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.036,1.7833830513582731
247,RUNX3,ENSG00000020633.18,hsa:864,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,2.036,1.7833830513582731
248,RHD,ENSG00000187010.18,hsa:6007,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-2.114,-3.713572804199267
249,RHD,ENSG00000187010.18,hsa:6007,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,-2.114,-3.713572804199267
250,RHD,ENSG00000187010.18,hsa:6007,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-2.114,-3.713572804199267
251,RHCE,ENSG00000188672.16,hsa:6006,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.1648,-0.8543902112971643
252,RHCE,ENSG00000188672.16,hsa:6006,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,0.1648,-0.8543902112971643
253,RHCE,ENSG00000188672.16,hsa:6006,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,0.1648,-0.8543902112971643
254,LDLRAP1,ENSG00000157978.11,hsa:26119,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4386,3.732329251528382
255,LDLRAP1,ENSG00000157978.11,hsa:26119,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,2.4386,3.732329251528382
256,MAN1C1,ENSG00000117643.14,hsa:57134,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),6.3707,2.8195336309997714
257,MAN1C1,ENSG00000117643.14,hsa:57134,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,6.3707,2.8195336309997714
258,MAN1C1,ENSG00000117643.14,hsa:57134,1000,Genes and Proteins,Protein families: metabolism,Enzymes,6.3707,2.8195336309997714
259,AUNIP,ENSG00000127423.10,hsa:79000,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.517,0.1861077962165036
260,AUNIP,ENSG00000127423.10,hsa:79000,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,0.517,0.1861077962165036
261,STMN1,ENSG00000117632.20,hsa:3925,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.8187,7.345505191381782
262,STMN1,ENSG00000117632.20,hsa:3925,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,8.8187,7.345505191381782
263,EXTL1,ENSG00000158008.9,hsa:2134,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.9375,-2.6963520529534675
264,EXTL1,ENSG00000158008.9,hsa:2134,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.9375,-2.6963520529534675
265,EXTL1,ENSG00000158008.9,hsa:2134,1003,Genes and Proteins,Protein families: metabolism,Glycosyltransferases,2.9375,-2.6963520529534675
266,SLC30A2,ENSG00000158014.14,hsa:7780,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-4.6082,-2.5676969355443533
267,SLC30A2,ENSG00000158014.14,hsa:7780,2000,Genes and Proteins,Protein families: signaling and cellular processes,Transporters,-4.6082,-2.5676969355443533
268,TRIM63,ENSG00000158022.6,hsa:84676,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.6259,-3.642643979468923
269,TRIM63,ENSG00000158022.6,hsa:84676,4121,Genes and Proteins,Protein families: genetic information processing,Ubiquitin system,-3.6259,-3.642643979468923
270,TRIM63,ENSG00000158022.6,hsa:84676,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-3.6259,-3.642643979468923
271,CEP85,ENSG00000130695.13,hsa:64793,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.4701,2.4691266674094523
272,CEP85,ENSG00000130695.13,hsa:64793,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,2.4701,2.4691266674094523
273,CD52,ENSG00000169442.8,hsa:1043,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.6418,5.053570936788077
274,CD52,ENSG00000169442.8,hsa:1043,4090,Genes and Proteins,Protein families: signaling and cellular processes,CD molecules,2.6418,5.053570936788077
275,CD52,ENSG00000169442.8,hsa:1043,0537,Genes and Proteins,Protein families: signaling and cellular processes,Glycosylphosphatidylinositol (GPI)-anchored proteins,2.6418,5.053570936788077
276,SFN,ENSG00000175793.11,hsa:2810,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.2328,4.298989388506758
277,SFN,ENSG00000175793.11,hsa:2810,4147,Genes and Proteins,Protein families: signaling and cellular processes,Exosome,-0.2328,4.298989388506758
278,NR0B2,ENSG00000131910.4,hsa:8431,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.7322,-3.9763255679881753
279,NR0B2,ENSG00000131910.4,hsa:8431,3000,Genes and Proteins,Protein families: genetic information processing,Transcription factors,-1.7322,-3.9763255679881753
280,NR0B2,ENSG00000131910.4,hsa:8431,3310,Genes and Proteins,Protein families: signaling and cellular processes,Nuclear receptors,-1.7322,-3.9763255679881753
281,KDF1,ENSG00000175707.8,hsa:126695,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-9.9658,1.3977348533808034
282,SYTL1,ENSG00000142765.17,hsa:84958,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-1.0262,3.3875687657536284
283,SYTL1,ENSG00000142765.17,hsa:84958,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,-1.0262,3.3875687657536284
284,SYTL1,ENSG00000142765.17,hsa:84958,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,-1.0262,3.3875687657536284
285,MAP3K6,ENSG00000142733.14,hsa:9064,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3177,4.097876151601572
286,MAP3K6,ENSG00000142733.14,hsa:9064,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.3177,4.097876151601572
287,MAP3K6,ENSG00000142733.14,hsa:9064,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,3.3177,4.097876151601572
288,FCN3,ENSG00000142748.12,hsa:8547,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),0.6608,0.8368374271922707
289,FCN3,ENSG00000142748.12,hsa:8547,4091,Genes and Proteins,Protein families: signaling and cellular processes,Lectins,0.6608,0.8368374271922707
290,GPR3,ENSG00000181773.6,hsa:2827,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),1.0847,-0.3528138333370447
291,GPR3,ENSG00000181773.6,hsa:2827,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,1.0847,-0.3528138333370447
292,AHDC1,ENSG00000126705.13,hsa:27245,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.9847,2.9007875664639893
293,AHDC1,ENSG00000126705.13,hsa:27245,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,3.9847,2.9007875664639893
294,FGR,ENSG00000000938.12,hsa:2268,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2841,2.027055558229607
295,FGR,ENSG00000000938.12,hsa:2268,4131,Genes and Proteins,Protein families: genetic information processing,Membrane trafficking,3.2841,2.027055558229607
296,FGR,ENSG00000000938.12,hsa:2268,1000,Genes and Proteins,Protein families: metabolism,Enzymes,3.2841,2.027055558229607
297,FGR,ENSG00000000938.12,hsa:2268,1001,Genes and Proteins,Protein families: metabolism,Protein kinases,3.2841,2.027055558229607
298,SMPDL3B,ENSG00000130768.14,hsa:27293,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-3.816,1.7307349096961264
299,SMPDL3B,ENSG00000130768.14,hsa:27293,1000,Genes and Proteins,Protein families: metabolism,Enzymes,-3.816,1.7307349096961264
300,PTAFR,ENSG00000169403.11,hsa:5724,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.3492,1.909126749958873
301,PTAFR,ENSG00000169403.11,hsa:5724,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,3.3492,1.909126749958873
302,RCC1,ENSG00000180198.15,hsa:1104,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),4.026,4.34582236055458
303,RCC1,ENSG00000180198.15,hsa:1104,3036,Genes and Proteins,Protein families: genetic information processing,Chromosome and associated proteins,4.026,4.34582236055458
304,RCC1,ENSG00000180198.15,hsa:1104,3019,Genes and Proteins,Protein families: genetic information processing,Messenger RNA biogenesis,4.026,4.34582236055458
305,RAB42,ENSG00000188060.6,hsa:115273,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.2737,0.8754487883536382
306,RAB42,ENSG00000188060.6,hsa:115273,4031,Genes and Proteins,Protein families: signaling and cellular processes,GTP-binding proteins,3.2737,0.8754487883536382
307,OPRD1,ENSG00000116329.10,hsa:4985,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),-0.7588,-4.439326726472245
308,OPRD1,ENSG00000116329.10,hsa:4985,4030,Genes and Proteins,Protein families: signaling and cellular processes,G protein-coupled receptors,-0.7588,-4.439326726472245
309,EPB41,ENSG00000159023.18,hsa:2035,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.828,3.4757234817134552
310,EPB41,ENSG00000159023.18,hsa:2035,4812,Genes and Proteins,Protein families: signaling and cellular processes,Cytoskeleton proteins,2.828,3.4757234817134552
311,PTPRU,ENSG00000060656.19,hsa:10076,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),2.7465,3.028915131619107
312,PTPRU,ENSG00000060656.19,hsa:10076,1000,Genes and Proteins,Protein families: metabolism,Enzymes,2.7465,3.028915131619107
313,PTPRU,ENSG00000060656.19,hsa:10076,1009,Genes and Proteins,Protein families: metabolism,Protein phosphatases and associated proteins,2.7465,3.028915131619107
314,LAPTM5,ENSG00000162511.7,hsa:7805,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.4814,6.107542332270911
315,SDC3,ENSG00000162512.15,hsa:9672,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),8.2796,4.481103289011629
316,SDC3,ENSG00000162512.15,hsa:9672,0535,Genes and Proteins,Protein families: signaling and cellular processes,Proteoglycans,8.2796,4.481103289011629
317,NKAIN1,ENSG00000084628.9,hsa:79570,0001,Genes and Proteins,Orthologs and modules,KEGG Orthology (KO),3.7486,-1.92999884841803
